timestamp,annotator,image_name,image_path,mode,input_mode,mask_path_input,time_seconds,brush_strokes,eraser_strokes,total_strokes,undo_count,redo_count,brush_pixels,eraser_pixels,vertex_adds,vertex_deletes,vertex_drags,polygon_closes,final_vertex_count,mask_pixel_count,saved,finished
2026-06-27T16:19:24.691833,alice,TN3K_test_0011.jpg,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\TN3K_test_0011.jpg,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\TN3K_test_0011.jpg,24.5,0,0,0,5,0,0,0,1,0,674,1,20,27866,True,True
2026-06-27T16:19:35.928025,alice,TN5K_test_000153.jpg,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\TN5K_test_000153.jpg,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\TN5K_test_000153.jpg,8.7,0,0,0,0,0,0,0,19,0,51,0,23,14848,True,True
2026-06-27T16:19:56.915788,alice,2.jpg,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\2.jpg,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\2.jpg,18.6,0,0,0,0,0,0,0,0,0,372,0,28,35607,True,True
2026-06-27T16:20:06.510149,alice,ThyroidXL_test_00000647_ABA708BB_0.png,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\ThyroidXL_test_00000647_ABA708BB_0.png,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\ThyroidXL_test_00000647_ABA708BB_0.png,7.6,0,0,0,0,0,0,0,12,0,47,0,18,19801,True,True
2026-06-27T16:20:12.240858,alice,PKTN_train_Img_38.jpg,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\PKTN_train_Img_38.jpg,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\PKTN_train_Img_38.jpg,4.0,0,0,0,0,0,0,0,3,0,1,0,25,29970,True,True
2026-06-27T16:20:20.712996,alice,TN5K_test_000154.jpg,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\TN5K_test_000154.jpg,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\TN5K_test_000154.jpg,6.6,0,0,0,0,0,0,0,16,0,36,0,21,11343,True,True
2026-06-27T16:20:25.276591,alice,0_2.png,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\0_2.png,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\0_2.png,2.9,0,0,0,0,0,0,0,2,0,0,0,20,78702,True,True
2026-06-27T16:20:33.412546,alice,TN3K_test_0000.jpg,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\TN3K_test_0000.jpg,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\TN3K_test_0000.jpg,6.1,0,0,0,0,0,0,0,11,0,21,0,17,4545,True,True
2026-06-27T16:20:43.719738,alice,12.jpg,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\12.jpg,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\12.jpg,8.7,0,0,0,0,0,0,0,17,0,40,0,22,9765,True,True
2026-06-27T16:20:57.878972,alice,TN5K_test_000174.jpg,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\TN5K_test_000174.jpg,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\TN5K_test_000174.jpg,12.4,0,0,0,0,0,0,0,22,0,121,0,27,18679,True,True
2026-06-27T16:21:02.291703,alice,PKTN_train_Img_116.jpg,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\PKTN_train_Img_116.jpg,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\PKTN_train_Img_116.jpg,2.7,0,0,0,0,0,0,0,2,0,2,0,24,27863,True,True
2026-06-27T16:21:20.954644,alice,ThyroidXL_test_00000685_C57696D3_0.png,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\ThyroidXL_test_00000685_C57696D3_0.png,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\ThyroidXL_test_00000685_C57696D3_0.png,17.0,0,0,0,0,0,0,0,19,0,248,0,25,17183,True,True
2026-06-27T16:21:27.768213,alice,14.jpg,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\14.jpg,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\14.jpg,5.1,0,0,0,0,0,0,0,7,0,8,0,14,4773,True,True
2026-06-27T16:21:46.332145,alice,TN3K_test_0008.jpg,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\TN3K_test_0008.jpg,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\TN3K_test_0008.jpg,4.4,0,0,0,0,0,0,0,2,0,0,0,31,10567,True,True
2026-06-27T16:21:57.713830,alice,1001_2.png,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\1001_2.png,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\1001_2.png,9.6,0,0,0,0,0,0,0,18,0,57,0,24,15756,True,True
2026-06-27T16:22:06.949114,alice,1000_2.png,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\1000_2.png,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\1000_2.png,7.5,0,0,0,0,0,0,0,15,0,29,0,21,4195,True,True
2026-06-27T16:22:15.087780,alice,TN5K_test_000093.jpg,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\TN5K_test_000093.jpg,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\TN5K_test_000093.jpg,6.5,0,0,0,0,0,0,0,11,0,26,0,17,5542,True,True
2026-06-27T16:22:19.271952,alice,TN3K_test_0006.jpg,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\TN3K_test_0006.jpg,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\TN3K_test_0006.jpg,2.6,0,0,0,0,0,0,0,1,0,0,0,21,22088,True,True
2026-06-27T16:22:27.810267,alice,ThyroidXL_test_00000692_EEF49AA3_1.png,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\ThyroidXL_test_00000692_EEF49AA3_1.png,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\ThyroidXL_test_00000692_EEF49AA3_1.png,6.9,0,0,0,0,0,0,0,14,0,29,0,20,5927,True,True
2026-06-27T16:22:55.918968,alice,TN3K_test_0001.jpg,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\TN3K_test_0001.jpg,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\TN3K_test_0001.jpg,26.3,0,0,0,1,0,0,0,33,0,172,1,37,52187,True,True
2026-06-27T16:23:06.868705,alice,TN5K_test_000060.jpg,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\images\TN5K_test_000060.jpg,assisted,polygon,D:\workspace\ThyroidAgent\my_plot_images\segmentation_time\datasets\masks\TN5K_test_000060.jpg,8.9,0,0,0,0,0,0,0,14,0,49,0,20,32776,True,True
